,ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
0,128024.SZ,20190823,125.7,0.0,0.0,0.0,125.7,0.0,0.0,0.0,0.0
1,128024.SZ,20190822,125.7,0.0,0.0,0.0,125.7,0.0,0.0,0.0,0.0
2,128024.SZ,20190821,128.0,127.603,128.03,125.061,125.7,-2.3,-1.7969,16430.7,2084.1222
3,128024.SZ,20190820,128.08,127.815,128.9,126.794,128.0,-0.08,-0.0625,59873.1,7649.5228
4,128024.SZ,20190819,129.74,128.24,128.76,124.4,128.08,-1.66,-1.2795,143524.0,18187.5296
5,128024.SZ,20190816,129.81,129.81,131.47,129.02,129.74,-0.07,-0.0539,164136.6,21371.8465
6,128024.SZ,20190815,129.9,129.5,130.28,127.777,129.81,-0.09,-0.0693,117265.8,15194.4493
7,128024.SZ,20190814,131.43,132.801,133.8,129.4,129.9,-1.53,-1.1641,54495.8,7108.3605
8,128024.SZ,20190813,132.098,131.7,132.98,130.51,131.43,-0.668,-0.5057,58371.4,7695.5969
9,128024.SZ,20190812,128.8,128.31,132.4,128.31,132.098,3.298,2.5606,217011.5,28319.8625
10,128024.SZ,20190809,127.85,128.098,129.6,127.8,128.8,0.95,0.7431,180591.6,23260.6332
11,128024.SZ,20190808,124.59,125.4,128.35,125.041,127.85,3.26,2.6166,512644.7,65026.0387
12,128024.SZ,20190807,124.82,126.1,126.82,124.351,124.59,-0.23,-0.1843,257045.3,32179.049
13,128024.SZ,20190806,126.731,124.5,126.639,123.2,124.82,-1.911,-1.5079,277277.8,34599.1811
14,128024.SZ,20190805,129.533,129.08,129.112,126.0,126.731,-2.802,-2.1632,156180.5,19848.4949
15,128024.SZ,20190802,131.62,130.0,130.0,128.5,129.533,-2.087,-1.5856,132211.4,17102.3532
16,128024.SZ,20190801,133.098,132.899,133.6,131.0,131.62,-1.478,-1.1105,76669.4,10109.9743
17,128024.SZ,20190731,134.301,134.001,134.008,132.472,133.098,-1.203,-0.8957,40614.2,5419.8378
18,128024.SZ,20190730,134.678,134.7,136.05,133.88,134.301,-0.377,-0.2799,143588.8,19394.7142
19,128024.SZ,20190729,134.75,134.002,135.488,134.002,134.678,-0.072,-0.0534,188682.0,25444.8055
20,128024.SZ,20190726,135.199,134.9,134.96,133.811,134.75,-0.449,-0.3321,227185.0,30567.1851
21,128024.SZ,20190725,132.891,132.19,135.2,132.19,135.199,2.308,1.7368,444360.4,59573.7624
22,128024.SZ,20190724,131.605,131.701,133.35,131.701,132.891,1.286,0.9772,192191.6,25538.4233
23,128024.SZ,20190723,132.999,133.65,133.65,131.241,131.605,-1.394,-1.0481,81859.9,10796.2415
24,128024.SZ,20190722,131.95,132.298,134.3,131.215,132.999,1.049,0.795,273227.1,36455.0056
25,128024.SZ,20190719,129.71,130.6,132.8,130.3,131.95,2.24,1.7269,141059.2,18600.7822
26,128024.SZ,20190718,130.069,129.0,130.6,128.6,129.71,-0.359,-0.276,28439.6,3699.7282
27,128024.SZ,20190717,129.613,129.613,130.797,129.613,130.069,0.456,0.3518,64821.8,8456.4911
28,128024.SZ,20190716,130.001,130.006,130.969,129.6,129.613,-0.388,-0.2985,57034.6,7415.3818
