,ts_code,ann_date,nav_date,unit_nav,accum_nav,accum_div,net_asset,total_netasset,adj_nav,update_flag
0,161130.SZ,20240119,20240117,2.7492,2.7492,,,,2.7492,0
1,161130.SZ,20240118,20240116,2.7629,2.7629,,,,2.7629,0
2,161130.SZ,20240117,20240115,2.7615,2.7615,,,,2.7615,0
3,161130.SZ,20240116,20240112,2.7603,2.7603,,,,2.7603,0
4,161130.SZ,20240113,20240111,2.7598,2.7598,,,,2.7598,0
5,161130.SZ,20240112,20240110,2.7544,2.7544,,,,2.7544,0
6,161130.SZ,20240111,20240109,2.735,2.735,,,,2.735,0
7,161130.SZ,20240110,20240108,2.7302,2.7302,,,,2.7302,0
8,161130.SZ,20240109,20240105,2.6777,2.6777,,,,2.6777,0
9,161130.SZ,20240106,20240104,2.6727,2.6727,,,,2.6727,0
10,161130.SZ,20240105,20240103,2.6865,2.6865,,,,2.6865,0
11,161130.SZ,20240104,20240102,2.7052,2.7052,,,,2.7052,0
12,161130.SZ,20240103,20231231,2.7511,2.7511,,,,2.7511,0
13,161130.SZ,20240119,20231231,2.7511,2.7511,,780932280.51,789493965.22,2.7511,1
14,161130.SZ,20240103,20231229,2.751,2.751,,,,2.751,0
15,161130.SZ,20231230,20231228,2.7675,2.7675,,,,2.7675,0
16,161130.SZ,20231229,20231227,2.77,2.77,,,,2.77,0
17,161130.SZ,20231228,20231226,2.7643,2.7643,,,,2.7643,0
18,161130.SZ,20231227,20231225,2.7504,2.7504,,,,2.7504,0
19,161130.SZ,20231226,20231222,2.7487,2.7487,,,,2.7487,0
20,161130.SZ,20231223,20231221,2.7478,2.7478,,,,2.7478,0
21,161130.SZ,20231222,20231220,2.7155,2.7155,,,,2.7155,0
22,161130.SZ,20231221,20231219,2.7564,2.7564,,,,2.7564,0
23,161130.SZ,20231220,20231218,2.7413,2.7413,,,,2.7413,0
24,161130.SZ,20231219,20231215,2.7255,2.7255,,,,2.7255,0
25,161130.SZ,20231216,20231214,2.718,2.718,,,,2.718,0
